event_id,datetime,phi,dt,phi_error,dt_error,quality,success,back_azimuth,incidence_pykonal_s,latitude,longitude,depth
1_1,2015-01-22T00:11:48.772000Z,25.994742107905267,0.17,53.0,0.115,0.0,True,273.99474210790527,18.10288379169059,45.941242,-130.013107,0.505
1_2,2015-01-22T02:02:41.045000Z,-73.03104151429034,0.03,12.0,0.01,0.9685730319472645,True,274.96895848570966,15.052438513945766,45.941704,-130.012985,0.529
1_5,2015-01-22T02:36:07.029000Z,-77.53843853022863,0.06,53.0,0.075,0.0,True,326.46156146977137,13.661155217661348,45.959137,-129.992798,1.637
1_6,2015-01-22T02:39:20.772000Z,-87.77039923949832,0.06,48.0,0.075,-0.9842865159736324,True,294.2296007605017,16.569484227424176,45.944874,-129.990936,0.634
1_7,2015-01-22T02:41:52.308000Z,17.49974303975165,0.05,48.0,0.085,0.0,True,329.49974303975165,15.591621231912928,45.969482,-129.999695,1.861
1_8,2015-01-22T02:42:34.067000Z,-85.01264269360786,0.03,47.0,0.095,-0.8585786437626906,True,294.98735730639214,18.179209469286327,45.945049,-129.990891,0.894
1_9,2015-01-22T02:50:16.026000Z,-73.29418872616213,0.02,8.0,0.02,-0.8900056118154259,True,324.70581127383787,14.640102238756544,45.963005,-129.998108,1.457
1_10,2015-01-22T02:59:40.870000Z,-88.08238171225969,0.1,48.0,0.14,-0.9842865159736324,True,293.9176182877403,19.01844812444684,45.944847,-129.991104,0.631
1_12,2015-01-22T03:01:31.660000Z,,,,,,False,303.67487184846,20.74380322136114,45.950054,-129.99675,0.45
1_13,2015-01-22T03:37:40.693000Z,-67.68005623351598,0.03,25.0,0.005,1.0,True,278.319943766484,14.153037339029416,45.94381,-130.01825,0.824
1_14,2015-01-22T03:40:37.373000Z,-64.1583576293367,0.02,10.0,0.005,0.9371460638945291,True,303.8416423706633,14.890224169800588,45.953995,-130.005264,0.372
1_15,2015-01-22T03:43:42.577000Z,,,,,,False,302.17491146023855,15.532780142635056,45.949768,-129.997452,0.118
1_16,2015-01-22T03:43:52.227000Z,-58.085866720816625,0.02,51.0,0.015,0.9685730319472645,True,303.9141332791834,15.182336051440528,45.950581,-129.997696,0.18
1_17,2015-01-22T04:01:36.519000Z,-67.04137719507753,0.04,91.0,0.15,-0.9842865159736323,True,258.95862280492247,15.447700588073312,45.935841,-130.000183,0.231
1_19,2015-01-22T04:45:04.100000Z,12.113430173043866,0.19,50.0,0.075,0.0,True,274.11343017304387,16.57956833258228,45.941299,-130.013107,0.489
1_20,2015-01-22T04:49:52.300000Z,25.121912372766644,0.05,54.0,0.085,0.0,True,321.12191237276664,15.67596759528683,45.956303,-129.993515,1.099
1_22,2015-01-22T04:54:43.601000Z,-80.87209830108321,0.06,53.0,0.12,0.0,True,203.1279016989168,13.929825989891434,45.926098,-129.981827,1.557
1_23,2015-01-22T04:56:42.742000Z,9.006590036093598,0.19,53.0,0.06,0.0,True,263.0065900360936,14.121581965914388,45.935417,-130.018829,1.236
1_24,2015-01-22T05:01:53.618000Z,-71.65301844725752,0.02,8.0,0.005,0.9371460638945291,True,326.3469815527425,13.364454181251638,45.964764,-129.998398,1.522
1_25,2015-01-22T05:20:42.271000Z,-73.56815742052368,0.03,16.0,0.01,0.9685730319472645,True,276.4318425794763,17.14375748379656,45.942486,-130.014114,0.548
1_26,2015-01-22T05:37:03.654000Z,-75.17270897633091,0.03,51.0,0.11,-0.5418771527091488,True,290.8272910236691,17.551452297867165,45.943508,-129.988815,0.575
1_27,2015-01-22T05:45:24.086000Z,15.252492496969353,0.04,49.0,0.11,0.8742921277890582,True,305.25249249696935,19.1007977790899,45.950626,-129.996613,0.424
1_28,2015-01-22T05:45:28.608000Z,-84.4312075446515,0.05,49.0,0.11,0.9685730319472645,True,263.5687924553485,23.347927938394175,45.935673,-130.019485,1.251
1_29,2015-01-22T06:00:47.807000Z,,,,,,False,299.50899060519345,19.579457974355236,45.94722,-129.993484,0.477
1_31,2015-01-22T08:52:12.418000Z,-89.17972740997254,0.05,49.0,0.095,0.0327587914302061,True,302.82027259002746,19.28940709632996,45.949718,-129.99675,0.286
1_32,2015-01-22T09:09:11.746000Z,-76.91619596854378,0.09,57.0,0.125,0.0,True,259.0838040314562,16.7317717088537,45.938282,-129.983475,1.6
1_34,2015-01-22T10:15:32.156000Z,-76.58369104136455,0.03,16.0,0.005,0.9685730319472645,True,277.41630895863545,17.83370347292606,45.943146,-130.016205,0.645
1_35,2015-01-22T10:34:31.092000Z,-81.85933835820617,0.09,21.0,0.045,0.7957247076572196,True,276.1406616417938,16.960627267751484,45.942497,-130.016464,0.679
1_36,2015-01-22T11:34:13.221000Z,29.41081250908553,0.25,53.0,0.12,-0.2593029642522984,True,323.41081250908553,13.280918960168307,45.960281,-129.996307,1.316
1_37,2015-01-22T12:11:41.344000Z,12.840818729454668,0.21,47.0,0.085,0.0,True,324.84081872945467,26.97105922747212,45.964386,-129.99942,1.37
1_38,2015-01-22T12:14:48.225000Z,87.56929778787298,0.01,48.0,0.09,0.9685730319472645,True,311.569297787873,14.023692379764723,45.954559,-129.998474,0.451
1_39,2015-01-22T12:16:39.511000Z,-82.61996044310422,0.18,57.0,0.105,0.43295219789109196,True,313.3800395568958,13.94521129014096,45.955929,-129.999084,0.588
1_40,2015-01-22T12:22:39.372000Z,,,,,,False,300.5769105371166,18.148244260688696,45.947117,-129.992386,0.341
1_42,2015-01-22T13:28:33.091000Z,5.735633731407177,0.27,5.0,0.005,0.7119194595165916,True,323.7356337314072,20.50020734996139,45.951408,-129.986465,0.435
1_43,2015-01-22T13:28:40.810000Z,-75.47703355357919,0.03,30.0,0.04,0.8742921277890582,True,276.5229664464208,17.021291449474607,45.942528,-130.014069,0.538
1_44,2015-01-22T13:41:44.199000Z,25.27935872758343,0.25,8.0,0.005,0.8190286838088682,True,305.2793587275834,15.395000775458309,45.9506,-129.996536,0.443
1_45,2015-01-22T16:20:16.259000Z,85.52672059448082,0.16,51.0,0.095,0.0,True,207.5267205944808,17.77501956871876,45.926678,-129.983215,1.105
1_46,2015-01-22T16:37:26.080000Z,-78.73177653735678,0.03,18.0,0.005,0.9057190958417937,True,277.2682234626432,14.064656549147214,45.942966,-130.014923,0.57
1_47,2015-01-22T16:55:54.165000Z,-65.77552211104853,0.16,56.0,0.14,-0.8585786437626906,True,272.22447788895147,14.321393966271398,45.940357,-130.011124,0.18
1_48,2015-01-22T17:26:39.320000Z,36.950155909140676,0.09,8.0,0.04,0.1950768766100075,True,274.9501559091407,15.771542883804845,45.941761,-130.014267,0.537
1_49,2015-01-22T17:50:09.038000Z,,,,,,False,271.67147237138795,16.95947008963903,45.940098,-130.010468,0.466
1_50,2015-01-22T18:09:43.480000Z,-75.82904860656129,0.02,18.0,0.015,-0.5372519017120267,True,274.1709513934387,16.85675248124002,45.941326,-130.013092,0.491
1_51,2015-01-22T20:03:43.190000Z,-71.14005847141141,0.02,10.0,0.005,0.8742921277890582,True,324.8599415285886,14.399141842401876,45.963535,-129.99852,1.497
1_52,2015-01-22T20:29:11.226000Z,-62.72852891605555,0.21,56.0,0.09,-0.890005611815426,True,261.27147108394445,13.88249157829773,45.934238,-130.020599,1.005
1_53,2015-01-22T22:17:04.304000Z,,,,,,False,305.726492317272,14.360822334094344,45.952133,-129.999298,0.276
1_54,2015-01-22T23:13:29.640000Z,-83.4047907192438,0.05,52.0,0.145,-0.8585786437626906,True,272.5952092807562,14.52147268191974,45.94051,-130.010437,0.425
1_55,2015-01-22T23:22:32.518000Z,-75.51117785690019,0.03,15.0,0.01,-0.6666666666666667,True,274.4888221430998,14.829978113180784,45.941387,-130.011093,0.418
1_56,2015-01-23T00:21:43.791000Z,-48.01121756202929,0.02,13.0,0.005,0.0,True,325.9887824379707,15.026665806955137,45.962051,-129.996033,1.67
1_57,2015-01-23T00:33:02.231000Z,-78.18969053683077,0.05,51.0,0.1,0.0,True,299.81030946316923,17.766354857671036,45.945389,-129.988525,0.867
1_58,2015-01-23T00:42:22.675000Z,-69.74638420310919,0.02,6.0,0.005,1.0,True,304.2536157968908,18.123608293665615,45.949883,-129.99588,0.435
1_59,2015-01-23T00:48:13.451000Z,25.985969478378593,0.25,7.0,0.005,0.7435089585950658,True,301.9859694783786,16.86224239458566,45.949493,-129.996979,0.185
1_60,2015-01-23T01:10:19.624000Z,35.24627640680637,0.02,49.0,0.015,0.2234533553236968,True,273.2462764068064,14.65356023269302,45.941048,-130.018494,0.752
1_61,2015-01-23T01:13:24.700000Z,-74.07951418694938,0.03,16.0,0.01,0.9685730319472645,True,275.9204858130506,15.551286976583937,45.942135,-130.012573,0.474
1_62,2015-01-23T01:37:49.416000Z,-78.88429574503459,0.03,48.0,0.11,1.0,True,271.1157042549654,14.70795315255033,45.939896,-130.020294,1.098
1_63,2015-01-23T01:45:54.151000Z,12.02210978726805,0.2,54.0,0.135,0.0,True,274.02210978726805,14.948331419387625,45.941219,-130.012207,0.456
1_64,2015-01-23T01:58:53.841000Z,-1.627916684111426,0.01,17.0,0.01,0.0,True,304.3720833158886,15.907967540886284,45.945194,-129.985687,1.624
1_65,2015-01-23T02:09:14.350000Z,-63.78711458825302,0.02,9.0,0.02,0.9685730319472645,True,302.212885411747,18.51765221658651,45.949848,-129.997604,0.121
1_66,2015-01-23T02:11:35.791000Z,36.22667760501429,0.25,54.0,0.12,0.0,True,302.2266776050143,19.21768675818467,45.949821,-129.997528,0.11
1_67,2015-01-23T02:35:11.520000Z,,,,,,False,268.6510577292473,19.41330718523942,45.938828,-130.007339,0.074
1_69,2015-01-23T03:02:52.902000Z,-16.78204662562601,0.02,54.0,0.1,0.0,True,197.217953374374,23.925463400170212,45.92886,-129.978394,1.218
1_70,2015-01-23T03:22:48.531000Z,-75.20151753425694,0.13,49.0,0.125,-0.9842865159736324,True,328.79848246574306,14.339491026607137,45.958595,-129.990692,0.307
1_71,2015-01-23T03:44:57.671000Z,41.01699853786778,0.04,11.0,0.01,0.8742921277890582,True,275.0169985378678,16.559616710370527,45.941929,-130.016846,0.628
1_73,2015-01-23T03:46:08.738000Z,,,,,,False,299.714483256248,19.609781161308725,45.945107,-129.987854,0.143
1_74,2015-01-23T03:46:15.957000Z,-64.69664686572617,0.03,27.0,0.085,-0.7637745374947855,True,277.30335313427383,15.711909431016462,45.942963,-130.014664,0.555
1_78,2015-01-23T04:15:56.341000Z,-73.16841552066398,0.02,52.0,0.11,0.6247634490940381,True,304.831584479336,27.738582367631157,45.950447,-129.996597,0.395
1_79,2015-01-23T04:21:54.960000Z,6.600316644403847,0.16,54.0,0.04,-0.7957247076572196,True,340.60031664440385,11.762049420842702,45.948776,-129.978577,1.861
1_81,2015-01-23T04:23:16.683000Z,62.88398250047578,0.08,47.0,0.09,0.0327587914302061,True,320.8839825004758,14.495749441640292,45.96096,-129.999252,0.078
1_82,2015-01-23T04:24:29.309000Z,-72.47681860635066,0.13,48.0,0.01,-0.890005611815426,True,251.52318139364937,17.176786169465903,45.937496,-129.982758,1.314
1_83,2015-01-23T04:45:35.793000Z,63.757117607996605,0.03,48.0,0.105,-0.9842865159736323,True,249.7571176079966,18.15325583306218,45.934212,-129.994232,0.305
1_84,2015-01-23T04:50:56.254000Z,,,,,,False,294.01638552571455,17.684989155165635,45.945454,-129.993042,0.638
1_85,2015-01-23T05:34:31.512000Z,89.29888052737851,0.01,17.0,0.005,0.7485842555781164,True,305.2988805273785,16.899869473143607,45.950645,-129.996613,0.396
1_86,2015-01-23T06:23:18.240000Z,-81.44338550249853,0.05,4.0,0.005,-0.9528595479208969,True,304.55661449750147,23.474794650247016,45.950336,-129.996597,0.484
1_87,2015-01-23T06:24:11.656000Z,-80.74350948390202,0.08,59.0,0.105,0.0,True,271.256490516098,15.22519534301042,45.939911,-130.010208,0.463
1_88,2015-01-23T06:46:36.636000Z,-82.24743032026095,0.11,50.0,0.04,-0.8900056118154259,True,297.75256967973905,18.868587852239266,45.944649,-129.987778,0.463
1_89,2015-01-23T06:56:22.764000Z,,,,,,False,331.61374182348845,11.76435009441245,45.974113,-130.001282,1.089
1_90,2015-01-23T07:02:02.491000Z,57.789672828761354,0.06,61.0,0.115,0.22536348627561997,True,301.78967282876135,18.497107425981778,45.947262,-129.991852,0.37
1_91,2015-01-23T07:07:29.773000Z,20.55801111732842,0.25,5.0,0.005,0.8825791572122409,True,302.5580111173284,15.5051147194764,45.948803,-129.994873,0.367
1_92,2015-01-23T07:07:37.445000Z,,,,,,False,300.9166454699494,17.405960121607333,45.948242,-129.994904,0.317
1_93,2015-01-23T07:09:20.739000Z,-72.20348098850945,0.03,49.0,0.02,0.11375392877292145,True,337.79651901149055,9.78151925083876,45.974823,-129.995102,3.694
1_95,2015-01-23T07:25:12.381000Z,53.18225933874999,0.11,18.0,0.015,0.9685730319472645,True,275.18225933875,14.768291788462662,45.941978,-130.016144,0.637
1_97,2015-01-23T09:00:51.836000Z,-78.27542253658487,0.05,50.0,0.13,-0.9214325798681613,True,315.72457746341513,15.082061991453813,45.956657,-129.998138,0.454
1_98,2015-01-23T09:24:20.440000Z,22.562419106397044,0.26,7.0,0.005,0.8604336051144735,True,302.56241910639704,15.447076518755557,45.948818,-129.994904,0.375
1_99,2015-01-23T10:21:58.573000Z,-9.945690757727988,0.02,5.0,0.005,1.0,True,196.054309242272,14.786911027821544,45.928112,-129.978348,1.258
1_100,2015-01-23T12:01:28.975000Z,-6.336732851540688,0.01,50.0,0.1,-0.9214325798681613,True,207.6632671484593,12.884492981638704,45.926712,-129.983246,1.162
1_101,2015-01-23T14:24:40.352000Z,75.8948648279935,0.07,51.0,0.13,-0.890005611815426,True,289.8948648279935,14.693572248846325,45.941875,-129.98288,1.586
1_102,2015-01-23T14:25:17.398000Z,69.30276747779067,0.09,53.0,0.14,0.7461408964712031,True,291.30276747779067,13.4970261142507,45.941883,-129.982239,1.655
1_103,2015-01-23T14:28:03.269000Z,-13.83245878553629,0.14,13.0,0.005,-0.890005611815426,True,292.1675412144637,17.715647848081385,45.941872,-129.981827,1.686
1_104,2015-01-23T15:01:54.609000Z,7.753224484527323,0.15,52.0,0.13,0.0,True,265.7532244845273,13.358121226370091,45.93689,-130.019684,1.191
1_106,2015-01-23T15:24:15.289000Z,,,,,,False,276.12742426813014,14.03187291869138,45.942478,-130.016281,0.562
1_107,2015-01-23T17:18:00.160000Z,22.793640949374208,0.25,6.0,0.005,0.8302943725152285,True,302.7936409493742,15.398059742089014,45.948887,-129.994873,0.381
1_108,2015-01-23T17:18:17.591000Z,20.616332807640333,0.01,67.0,0.145,0.0,True,274.61633280764033,14.941035996529372,45.941566,-130.013641,0.565
1_109,2015-01-23T17:31:42.042000Z,-65.42884500849743,0.02,13.0,0.01,0.5835926733012553,True,288.57115499150257,18.8595190813387,45.943424,-129.990494,0.46
1_110,2015-01-23T17:37:52.440000Z,-80.95222264485517,0.03,15.0,0.01,0.9371460638945291,True,277.04777735514483,14.450726943622977,45.94315,-130.018753,0.808
1_111,2015-01-23T17:38:32.120000Z,-77.51242342721514,0.03,15.0,0.01,1.0,True,276.48757657278486,15.976524388495944,45.942974,-130.02066,0.963
1_112,2015-01-23T18:03:28.956000Z,-77.93171773430754,0.03,49.0,0.09,1.0,True,328.06828226569246,17.077739762423796,45.951572,-129.984726,1.763
1_113,2015-01-23T18:06:04.250000Z,-75.41545660424492,0.03,8.0,0.005,0.9371460638945291,True,298.5845433957551,15.821988665456194,45.94569,-129.990112,1.701
1_114,2015-01-23T18:11:33.400000Z,-85.69137342171734,0.12,50.0,0.135,0.0327587914302061,True,298.30862657828266,18.64088593620609,45.945965,-129.991058,0.434
1_115,2015-01-23T18:29:00.940000Z,-77.1352199785091,0.03,9.0,0.005,0.0,True,298.8647800214909,19.04974233476725,45.946075,-129.990952,0.481
1_116,2015-01-23T18:31:08.240000Z,10.788118523897651,0.26,7.0,0.005,0.9584392096874728,True,298.78811852389765,19.000413865930177,45.94606,-129.990967,0.477
1_117,2015-01-23T18:31:32.752000Z,-21.47495813590541,0.03,7.0,0.005,-0.9528595479208969,True,316.5250418640946,18.22145172186957,45.950405,-129.988754,1.695
1_118,2015-01-23T18:31:55.918000Z,-78.92511127512978,0.03,50.0,0.105,0.8428651597363228,True,325.0748887248702,25.130972131084818,45.951107,-129.98555,1.713
1_119,2015-01-23T18:55:39.538000Z,-69.27937203352406,0.04,22.0,0.015,0.7800112236308518,True,284.72062796647594,13.966147456213072,45.946293,-130.011856,0.151
1_120,2015-01-23T18:58:32.245000Z,,,,,,False,260.61229627656223,13.07762490246196,45.933277,-130.025208,1.156
1_121,2015-01-23T19:13:16.440000Z,88.33150549535304,0.03,54.0,0.1,0.0,True,278.33150549535304,15.922015586552206,45.943653,-130.016495,0.717
1_122,2015-01-23T19:15:17.960000Z,8.356913219454214,0.23,11.0,0.005,0.2594629909799274,True,278.3569132194542,14.084443851806268,45.943474,-130.014435,0.574
